Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IntAgeGroup,IntFareGroup,IntTitle,IntSex,IntEmbarked,IntTicket
0,3,22.0,1,0,7.25,1,0,0,0,0,0,0
1,1,38.0,1,0,71.2833,1,1,1,1,1,1,1
1,3,26.0,0,0,7.925,0,0,0,2,1,0,2
1,1,35.0,1,0,53.1,1,1,2,1,1,0,3
0,3,35.0,0,0,8.05,0,1,0,0,0,0,4
0,3,21.735494151582017,0,0,8.4583,0,0,0,0,0,2,5
0,1,54.0,0,0,51.8625,0,2,2,0,0,0,6
0,3,2.0,3,1,21.075,4,3,3,0,0,0,7
1,3,27.0,0,2,11.1333,2,0,0,1,1,0,8
1,2,14.0,1,0,30.0708,1,4,3,1,1,1,9
1,3,4.0,1,1,16.7,2,3,0,2,1,0,10
1,1,58.0,0,0,26.55,0,2,3,2,1,0,11
0,3,20.0,0,0,8.05,0,4,0,0,0,0,12
0,3,39.0,1,5,31.275,6,1,3,0,0,0,13
0,3,14.0,0,0,7.8542,0,4,0,2,1,0,14
1,2,55.0,0,0,16.0,0,2,0,1,1,0,15
0,3,2.0,4,1,29.125,5,3,3,1,0,2,16
1,2,34.313728837991476,0,0,13.0,0,1,0,0,0,0,17
0,3,31.0,1,0,18.0,1,1,0,1,1,0,18
1,3,1.755464352549641,0,0,7.225,0,3,0,1,1,1,19
0,2,35.0,0,0,26.0,0,1,3,0,0,0,20
1,2,34.0,0,0,13.0,0,1,0,0,0,0,21
1,3,15.0,0,0,8.0292,0,4,0,2,1,2,22
1,1,28.0,0,0,35.5,0,0,3,0,0,0,23
0,3,8.0,3,1,21.075,4,3,3,2,1,0,7
1,3,38.0,1,5,31.3875,6,1,3,1,1,0,24
0,3,23.65519677265524,0,0,7.225,0,0,0,0,0,1,25
0,1,19.0,3,2,263.0,5,4,4,0,0,0,26
1,3,33.2420695201249,0,0,7.8792,0,1,0,2,1,2,27
0,3,36.71049856186807,0,0,7.8958,0,1,0,0,0,0,28
0,1,40.0,0,0,27.7208,0,1,3,0,0,1,29
1,1,47.60349302932907,1,0,146.5208,1,5,4,1,1,1,30
1,3,14.872147778102754,0,0,7.75,0,4,0,2,1,2,31
0,2,66.0,0,0,10.5,0,6,0,0,0,0,32
